"id","account_id","category_id","sub_category_id","goal_id","peer_contact_id","tag_ids","date","amount","type","note","description","receipt_path","recurring_id","split_data","investment_platform","expected_return_date","created_at","is_recurring","is_split_parent","is_split_child","parent_transaction_id","is_transfer","to_account_id"
"","Cash","Health","Pharmacy / Medicine","","","","2025-05-06 20:57:00","170.0","expense","medicine","","","","","","","2025-05-06 20:57:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-05-06 22:03:00","60.0","expense","ehgs","","","","","","","2025-05-06 22:03:00","false","false","false","","false",""
"","Cash","Health","","","","","2025-05-07 09:26:00","100.0","expense","registration renewal","","","","","","","2025-05-07 09:26:00","false","false","false","","false",""
"","Cash","Health","Pharmacy / Medicine","","","","2025-05-07 09:35:00","945.0","expense","medicine","","","","","","","2025-05-07 09:35:00","false","false","false","","false",""
"","Cash","Personal Care","","","","","2025-05-07 09:35:00","2000.0","expense","lensekart Kailas","","","","","","","2025-05-07 09:35:00","false","false","false","","false",""
"","Cash","Financial & Legal","","","","","2025-05-10 07:23:00","20000.0","expense","","","","","","","","2025-05-10 07:23:00","false","false","false","","false",""
"","Cash","Food & Dining","Provision","","","","2025-05-10 12:00:00","135.0","expense","groceries","","","","","","","2025-05-10 12:00:00","false","false","false","","false",""
"","Cash","Food & Dining","Provision","","","","2025-05-11 11:58:00","1173.0","expense","groceries","","","","","","","2025-05-11 11:58:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-05-11 12:00:00","403.0","expense","chiken","","","","","","","2025-05-11 12:00:00","false","false","false","","false",""
"","Cash","Food & Dining","Provision","","","","2025-05-11 12:01:00","165.0","expense","fruits","","","","","","","2025-05-11 12:01:00","false","false","false","","false",""
"","Cash","Bills & Utilities","Mobile & Internet","","","","2025-05-11 19:15:00","1828.0","expense","credits card bills","","","","","","","2025-05-11 19:15:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-05-12 22:16:00","270.0","expense","","","","","","","","2025-05-12 22:16:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-05-12 22:16:00","65.0","expense","","","","","","","","2025-05-12 22:16:00","false","false","false","","false",""
"","Cash","Transport","Public Transit (Train/Bus)","","","","2025-05-12 22:16:00","15.0","expense","","","","","","","","2025-05-12 22:16:00","false","false","false","","false",""
"","Cash","Bills & Utilities","Mobile & Internet","","","","2025-05-12 22:16:00","480.0","expense","","","","","","","","2025-05-12 22:16:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-05-13 22:20:00","70.0","expense","","","","","","","","2025-05-13 22:20:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-05-14 22:04:00","210.0","expense","","","","","","","","2025-05-14 22:04:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-05-15 22:00:00","240.0","expense","","","","","","","","2025-05-15 22:00:00","false","false","false","","false",""
"","Cash","Family & Social","Social Outings","","","","2025-05-17 14:16:00","2000.0","expense","to anil chilla","","","","","","","2025-05-17 14:16:00","false","false","false","","false",""
"","Cash","Transport","Public Transit (Train/Bus)","","","","2025-05-17 14:17:00","23.0","expense","kztm to eastfort","","","","","","","2025-05-17 14:17:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-05-18 22:03:00","215.0","expense","altaza","","","","","","","2025-05-18 22:03:00","false","false","false","","false",""
"","Cash","Food & Dining","Provision","","","","2025-05-18 22:03:00","70.0","expense","eggs","","","","","","","2025-05-18 22:03:00","false","false","false","","false",""
"","Cash","Shopping","Clothing & Shoes","","","","2025-05-18 22:05:00","1502.0","expense","cloth stand","","","","","","","2025-05-18 22:05:00","false","false","false","","false",""
"","Cash","Food & Dining","Take Away","","","","2025-05-19 07:21:00","356.0","expense","","","","","","","","2025-05-19 07:21:00","false","false","false","","false",""
